Year,Generation kWh,Self Consumed kWh,Export kWh,Electricity Price,Self Consumed Value,Export Value,Total Savings,Operating Costs,Net Savings
1,5400,4050,1350,0.28,1134,74,1208,350,858
2,5373,4030,1343,0.29,1191,74,1265,357,908
3,5346,4010,1336,0.31,1251,73,1324,364,960
4,5319,3989,1330,0.32,1314,73,1387,371,1016
5,5293,3970,1323,0.34,1379,73,1452,379,1073
6,5266,3950,1316,0.36,1448,72,1520,386,1134
7,5240,3930,1310,0.37,1521,72,1593,394,1199
8,5214,3911,1303,0.39,1597,72,1669,402,1267
9,5188,3891,1297,0.41,1677,71,1748,410,1338
10,5162,3872,1290,0.43,1761,71,1832,418,1414
